"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Braves","301","11.0 %","20.9 %","0.52",".291",".387",".562",".949",".271","5.1",".331","-0.1","0.2","-1.5","57","19.6",".394","144"
"Twins","238","8.4 %","18.9 %","0.44",".286",".357",".526",".883",".239","2.2",".308","-0.3","0.3","-0.5","40","10.7",".371","132"
"Mariners","253","9.1 %","19.8 %","0.46",".270",".345",".518",".863",".248","3.9",".290","0.3","0.1","-0.2","40","8.9",".359","131"
"Angels","232","9.1 %","22.4 %","0.40",".259",".346",".502",".849",".244","5.5",".293","0.1","-0.2","0.3","36","6.8",".352","125"
"Brewers","215","11.6 %","24.7 %","0.47",".257",".349",".481",".830",".225","3.9",".298","0.2","-0.2","0.7","33","6.2",".352","117"
"Diamondbacks","275","10.5 %","18.9 %","0.56",".252",".331",".512",".843",".260","4.1",".250","-0.1","-0.1","0.1","42","7.5",".350","115"
"Red Sox","312","9.3 %","24.4 %","0.38",".263",".335",".504",".839",".241","4.4",".309","0.2","0.1","-0.6","47","8.4",".350","115"
"Indians","201","8.5 %","21.9 %","0.39",".265",".325",".514",".839",".249","5.1",".295","0.3","0.1","0.1","30","4.9",".347","114"
"Rockies","280","7.5 %","21.8 %","0.34",".282",".353",".456",".808",".173","5.1",".335","0.0","0.0","0.4","41","6.2",".344","98"
"Dodgers","234","9.8 %","20.9 %","0.47",".263",".348",".468",".816",".205","1.3",".299","0.2","0.3","-0.5","34","5.0",".343","116"
"Rays","313","7.3 %","24.6 %","0.30",".283",".348",".424",".772",".141","3.7",".355","0.3","0.1","0.4","43","3.8",".332","111"
"Yankees","239","10.0 %","22.2 %","0.45",".263",".335",".451",".785",".188","3.4",".312","-0.3","0.2","-0.8","32","2.8",".332","107"
"Cubs","264","8.0 %","20.5 %","0.39",".256",".326",".462",".787",".205","3.4",".282","0.2","0.1","-1.0","36","3.1",".332","103"
"Nationals","225","7.1 %","15.6 %","0.46",".255",".318",".470",".788",".215","5.1",".255","-0.1","-0.2","-0.2","30","2.5",".331","101"
"White Sox","216","8.3 %","13.9 %","0.60",".258",".319",".455",".774",".197","1.7",".264","0.2","0.3","-0.1","28","1.6",".327","106"
"Pirates","281","7.5 %","19.2 %","0.39",".283",".333",".449",".782",".165","5.7",".327","-0.3","0.2","0.2","36","1.4",".324","100"
"Phillies","221","9.0 %","16.7 %","0.54",".245",".312",".459",".771",".214","5.5",".252","0.1","0.1","-0.1","28","0.9",".323","100"
"Rangers","330","11.5 %","28.2 %","0.41",".252",".351",".399",".750",".147","6.7",".351","0.0","0.0","0.8","42","1.2",".322","94"
"Padres","244","6.1 %","25.0 %","0.25",".266",".311",".445",".757",".179","5.9",".331","-0.3","-0.2","0.7","30","0.2",".319","99"
"Astros","200","12.5 %","24.0 %","0.52",".224",".325",".418",".743",".194","6.2",".250","0.0","0.0","0.2","25","0.1",".318","103"
"Mets","229","7.4 %","24.9 %","0.30",".250",".314",".433",".747",".183","5.6",".301","-0.7","-0.2","0.5","28","-0.3",".317","100"
"Tigers","227","8.8 %","26.0 %","0.34",".240",".313",".430",".743",".190","5.0",".297","-0.3","0.1","0.1","27","-0.8",".314","96"
"Orioles","221","7.2 %","21.3 %","0.34",".259",".323",".403",".726",".144","2.8",".315","-0.1","0.1","-1.2","26","-0.9",".313","94"
"Giants","177","7.9 %","27.1 %","0.29",".250",".309",".394",".702",".144","3.9",".318","-0.1","0.2","0.7","20","-2.4",".302","86"
"Blue Jays","230","8.7 %","27.4 %","0.32",".240",".309",".389",".698",".149","4.4",".314","-0.4","0.0","0.3","25","-3.4",".301","87"
"Cardinals","260","8.1 %","23.5 %","0.34",".224",".292",".397",".688",".172","5.5",".267","0.4","0.1","0.7","27","-5.3",".294","82"
"Athletics","260","7.7 %","21.5 %","0.36",".220",".296",".379",".675",".159","4.0",".249","0.2","0.1","-0.1","26","-6.2",".290","82"
"Reds","183","8.2 %","26.2 %","0.31",".216",".280",".365",".645",".150","0.7",".272","-0.3","0.1","-0.1","16","-6.5",".276","68"
"Marlins","228","4.8 %","24.1 %","0.20",".243",".293",".333",".627",".090","3.3",".316","0.1","-0.5","0.1","20","-8.5",".274","71"
"Royals","209","7.2 %","27.8 %","0.26",".197",".258",".301",".559",".104","5.0",".265","0.0","0.1","1.9","13","-12.9",".246","49"
